#{"t_start": 1620827303.8721921, "env_id": "HalfCheetahPyBulletEnv-v0"}
r,l,t
-12.880854,23,32.868368
-1.215387,14,32.924803
-7.676244,17,32.99336
-5.933423,18,33.053364
-15.201756,17,33.104692
0.719804,24,33.177074
-0.850084,17,33.228235
0.083454,17,33.279268
-6.408996,20,33.34591
-2.221504,16,33.430186
-3.852711,18,33.502003
-4.195882,17,33.559983
-10.327743,19,33.621016
2.347126,16,33.67193
-3.584141,16,33.723328
-4.039933,17,33.776518
-5.057381,18,33.832647
-3.076027,18,33.889003
2.923962,17,33.94043
-0.189693,17,33.992074
-10.06459,17,34.043338
-6.728977,16,34.117867
-10.293604,16,34.202693
-2.713647,12,34.252584
-4.887647,17,34.313255
-2.405543,18,34.370831
-1.054699,18,34.426794
-0.170402,16,34.479975
-4.289626,15,34.528695
-6.980757,18,34.587056
-1.796421,17,34.641414
-2.040876,17,34.695648
-5.573337,15,34.74352
-3.012031,17,34.797781
-13.596653,20,34.862272
-6.042706,14,34.907069
-5.469468,15,34.954752
-0.58017,17,35.00798
10.635347,25,35.086147
0.176322,20,35.147161
-9.185991,21,35.211533
-4.325044,18,35.265306
1.667639,19,35.323376
-3.520417,15,35.368804
-6.659922,19,35.42619
-2.190625,17,35.477656
-2.582015,17,35.52982
-4.097961,17,35.583462
-0.258179,16,35.632096
-3.432538,18,35.687217
-5.319756,24,35.76028
-8.5866,15,35.805933
-2.860922,19,35.863351
-5.611696,17,35.914754
-5.31177,18,35.969289
-4.204266,18,36.023695
-7.431397,16,36.072064
1.065038,21,36.135664
-5.971909,19,36.192826
-5.151965,16,36.24128
-6.148914,18,36.295818
-0.195942,21,36.359876
-3.836837,17,36.411948
-8.388296,17,36.46395
-3.380755,18,36.518818
-10.24364,25,36.59543
-3.389471,19,36.654547
4.6662,21,36.725144
-10.042986,18,36.783219
2.25578,18,36.83871
-2.326343,19,36.897172
-6.585658,17,36.968855
-10.226118,16,37.027917
-5.348986,22,37.099069
-6.893297,16,37.148828
-7.560192,16,37.198575
-3.211263,14,37.242293
-3.787301,15,37.289052
-5.921194,17,37.341618
1.137248,23,37.412617
-6.46694,18,37.472192
0.869869,17,37.526474
-7.383036,18,37.583617
-1.456244,18,37.646411
-4.252738,17,37.746839
-2.441628,18,37.834571
-8.125936,16,37.914787
-3.945954,18,38.01228
1.876933,22,38.112784
-7.107788,17,38.174031
-6.275443,19,38.236131
-16.29301,15,38.283593
3.141636,17,38.335731
-7.720626,18,38.391407
2.489361,19,38.449578
-3.129759,17,38.503821
-14.03828,25,38.581076
-5.850044,18,38.640353
-6.120402,19,38.701226
0.263211,25,41.885337
-8.828483,17,41.941619
-4.508732,17,41.994958
-7.208258,23,42.067141
1.8823,19,42.126652
-5.512733,13,42.167329
-15.929458,30,42.261576
-12.194793,19,42.323463
-5.999447,13,42.365889
-7.119273,16,42.417949
-3.560465,14,42.46462
-9.850775,16,42.516144
-3.902383,16,42.568229
-3.012884,15,42.615362
-1.31129,17,42.668796
-5.777079,23,42.74068
-8.806663,16,42.790534
-7.887831,20,42.851815
-4.359257,19,42.910317
-3.891926,19,42.969006
-6.397871,22,43.036794
-0.839762,16,43.085633
-17.158872,19,43.143827
-4.055554,17,43.195632
-11.651139,15,43.241227
-3.568065,16,43.290081
-6.268311,20,43.350999
-6.118381,16,43.399558
-5.824463,19,43.457623
-6.131546,16,43.506353
-3.857675,16,43.555718
-4.6047,19,43.614231
-4.578074,18,43.669583
-5.991058,20,43.730843
1.209108,17,43.783264
-3.495401,17,43.835372
-17.481908,17,43.887545
-13.333199,23,43.958428
-4.791087,23,44.028644
-3.466135,16,44.077752
-3.448638,16,44.126537
-6.108322,20,44.187735
-6.868203,14,44.230875
-8.425521,21,44.295828
-2.809597,24,44.369378
-1.68803,18,44.425074
0.52739,14,44.467883
-2.704281,23,44.538331
-5.945736,28,44.62399
-10.647367,14,44.666706
2.254084,16,44.715837
-15.099611,27,44.798775
-5.892531,36,44.908938
-2.192984,19,44.967508
-0.870063,13,45.007612
-6.736671,18,45.062974
-5.292116,22,45.130891
-11.642915,15,45.177029
-12.767051,24,45.25017
