nupdates,serial_timesteps,clipfrac,v_mix_ev,time_elapsed,gamelenmean,gamescoremean,total_timesteps,approxkl,fps,v_ex_ev,entropy
227,464896,0.390625,0.32796961069107056,3441.770210504532,925.11,1127.7135841099998,464896,0.03553130477666855,133,0.06206780672073364,0.5138620138168335
228,466944,0.375,0.28612303733825684,3459.1688883304596,933.64,1142.13543582,466944,0.03180926665663719,117,0.1340373158454895,0.5117284059524536
229,468992,0.359375,0.3459353446960449,3477.35178899765,940.67,1155.5587154300001,468992,0.034246452152729034,112,-0.004102945327758789,0.5217348337173462
230,471040,0.359375,0.3314037322998047,3496.4714167118073,940.67,1160.44840495,471040,0.035625800490379333,107,0.08310854434967041,0.5096168518066406
231,473088,0.328125,0.29049670696258545,3516.277921438217,940.67,1167.8512509299999,473088,0.03384511172771454,103,0.04256242513656616,0.46077990531921387
232,475136,0.390625,0.5236725509166718,3531.9864449501038,938.05,1168.54140895,475136,0.06020200252532959,130,0.5882586538791656,0.4066680669784546
233,477184,0.453125,0.33641964197158813,3546.5832266807556,946.24,1182.5441956499997,477184,0.049700118601322174,140,-0.01694464683532715,0.38787841796875
234,479232,0.5,0.5767622292041779,3561.4195878505707,941.0,1182.76944807,479232,0.05359283462166786,138,0.5756046175956726,0.3686404228210449
235,481280,0.46875,0.3127126097679138,3579.468363761902,941.0,1187.7145797899998,481280,0.05082476884126663,113,0.07757383584976196,0.36001694202423096
236,483328,0.453125,0.316051185131073,3598.301658153534,949.18,1202.63885918,483328,0.055728986859321594,108,0.0042629241943359375,0.3561595678329468
237,485376,0.390625,0.2733317017555237,3615.8296360969543,949.18,1208.07347349,485376,0.03402382880449295,116,0.08797669410705566,0.3371853828430176
238,487424,0.296875,0.2384929060935974,3632.282665491104,957.42,1223.79103239,487424,0.027968693524599075,124,0.04954516887664795,0.31192684173583984
239,489472,0.453125,0.3083741068840027,3647.4142212867737,957.42,1228.75763744,489472,0.04273398220539093,135,0.011364877223968506,0.3329141139984131
240,491520,0.5,0.26744717359542847,3662.8064770698547,963.97,1242.45854571,491520,0.049671340733766556,133,0.06724274158477783,0.28816306591033936
241,493568,0.375,0.28645557165145874,3678.3101012706757,963.97,1248.3648376200001,493568,0.03247382491827011,132,0.02429753541946411,0.2813279628753662
242,495616,0.546875,0.2787066698074341,3693.0604972839355,963.97,1253.69523355,495616,0.04230578616261482,138,-0.01628422737121582,0.25812244415283203
243,497664,0.375,0.29544270038604736,3707.929016828537,963.97,1258.91247843,497664,0.029363933950662613,137,0.024851441383361816,0.2555006742477417
244,499712,0.40625,0.3502628803253174,3723.0971031188965,964.88,1265.07724424,499712,0.03681240230798721,135,0.05189871788024902,0.25010383129119873
245,501760,0.46875,0.25804609060287476,3738.1823723316193,964.88,1270.97527831,501760,0.032060641795396805,135,0.010091006755828857,0.2226320505142212
246,503808,0.375,0.3285965323448181,3752.645172595978,964.88,1275.8028700799998,503808,0.03448405861854553,141,-0.011595845222473145,0.2322303056716919
247,505856,0.359375,0.6450450122356415,3767.0123686790466,956.13,1270.2424928499997,505856,0.027661727741360664,142,0.5134259760379791,0.24320721626281738
248,507904,0.5,0.37842899560928345,3781.593006849289,956.13,1275.46936797,507904,0.04440631344914436,140,0.019435524940490723,0.20375573635101318
249,509952,0.46875,0.35163313150405884,3795.984541416168,956.13,1280.85869184,509952,0.06150773912668228,142,0.11308616399765015,0.1758265495300293
250,512000,0.578125,0.30053770542144775,3810.4857308864594,956.13,1285.95183166,512000,0.05983481556177139,141,0.01613771915435791,0.14378058910369873
251,514048,0.421875,0.28795719146728516,3825.005075454712,956.13,1291.41432811,514048,0.030050454661250114,141,0.019677817821502686,0.09236109256744385
252,516096,0.515625,0.30296438932418823,3839.7535462379456,956.13,1297.6260817,516096,0.05337287858128548,138,0.015394508838653564,0.01892530918121338
253,518144,0.359375,0.3610825538635254,3855.1649878025055,956.13,1303.2107526,518144,0.04455280303955078,132,0.05193859338760376,-0.020017147064208984
254,520192,0.328125,0.3149522542953491,3872.55282664299,963.66,1318.3819520700001,520192,0.029615547508001328,117,0.01326841115951538,-0.04703664779663086
255,522240,0.359375,0.3379952311515808,3889.6626114845276,963.66,1323.9088376499997,522240,0.03620275482535362,119,-0.005449891090393066,-0.0690239667892456
256,524288,0.46875,0.7959385961294174,3903.1620264053345,940.97,1301.97687002,524288,0.0413937047123909,151,0.7561966478824615,-0.06298947334289551
257,526336,0.390625,0.7193286716938019,3919.286968946457,940.97,1305.9775488,526336,0.05180735886096954,127,0.647569864988327,-0.1023101806640625
258,528384,0.421875,0.34531307220458984,3935.2528536319733,940.97,1311.0865205,528384,0.049933549016714096,128,0.06615519523620605,-0.12534844875335693
259,530432,0.359375,0.26392167806625366,3949.7943341732025,940.97,1316.4076120099999,530432,0.03188817948102951,140,0.02828240394592285,-0.18200111389160156
260,532480,0.28125,0.7995104640722275,3967.453510284424,935.98,1313.7740592000002,532480,0.028847193345427513,115,0.7873245626688004,-0.23864507675170898
261,534528,0.421875,0.4459124207496643,3985.0238637924194,935.98,1319.45081447,534528,0.03149450570344925,116,0.1148383617401123,-0.2768803834915161
262,536576,0.453125,0.3768901228904724,4004.381007671356,942.68,1335.6158447200003,536576,0.050703100860118866,105,0.13563477993011475,-0.2275834083557129
263,538624,0.421875,0.3862476348876953,4022.5399267673492,942.68,1340.6597374399998,538624,0.03951331228017807,112,0.03890436887741089,-0.26652514934539795
264,540672,0.40625,0.6944265365600586,4039.5921790599823,937.78,1340.13605498,540672,0.057470571249723434,120,0.5595706403255463,-0.27647292613983154
265,542720,0.4375,0.3061707019805908,4057.155505180359,937.78,1345.8212119099999,542720,0.03865445405244827,116,0.04015892744064331,-0.2864891290664673
266,544768,0.4375,0.48655086755752563,4075.735315799713,928.07,1338.2281980899998,544768,0.060191065073013306,110,0.3384477496147156,-0.30667853355407715
267,546816,0.453125,0.5754132270812988,4093.5803773403168,908.75,1316.87418129,546816,0.07870118319988251,114,0.5345069169998169,-0.3500744104385376
268,548864,0.5,0.3257445693016052,4111.801310777664,916.43,1331.36777225,548864,0.04366380348801613,112,0.2822113037109375,-0.3519855737686157
269,550912,0.421875,0.7356447875499725,4128.200174808502,900.74,1313.28411445,550912,0.037491362541913986,124,0.7170076072216034,-0.3906179666519165
270,552960,0.375,0.26902151107788086,4145.770666360855,900.74,1317.7195866299999,552960,0.032878875732421875,116,0.1217813491821289,-0.4094468355178833
271,555008,0.5,0.28407275676727295,4162.647812843323,900.74,1322.76353877,555008,0.057050541043281555,121,0.011733949184417725,-0.4408848285675049
272,557056,0.515625,0.5160917043685913,4180.088052034378,891.08,1314.99158148,557056,0.04572058841586113,117,0.4205697178840637,-0.4705936908721924
273,559104,0.53125,0.26282989978790283,4196.335294485092,891.08,1320.6271350999998,559104,0.039173513650894165,126,0.009611964225769043,-0.5123156309127808
274,561152,0.46875,0.2632644772529602,4215.627038478851,891.08,1326.2847865,561152,0.033573102205991745,106,0.004764914512634277,-0.5612958669662476
275,563200,0.453125,0.20868206024169922,4237.281551837921,891.08,1335.00652425,563200,0.04910857975482941,94,0.02115035057067871,-0.5682429075241089
276,565248,0.375,0.5822481513023376,4256.358066558838,884.11,1330.93709149,565248,0.03178763762116432,107,0.5052718818187714,-0.5615333318710327
277,567296,0.46875,0.2764596939086914,4274.822947025299,890.1,1344.5660988900001,567296,0.03930119425058365,110,0.007734239101409912,-0.5841937065124512
278,569344,0.46875,0.22448962926864624,4291.964850187302,890.1,1349.18895373,569344,0.04440118744969368,119,-0.012901544570922852,-0.5692424774169922
279,571392,0.390625,0.26190710067749023,4309.007285356522,890.1,1353.5796698600002,571392,0.05824718251824379,120,0.07909607887268066,-0.5499168634414673
