gamescoremean,fps,nupdates,total_timesteps,serial_timesteps,time_elapsed,approxkl,v_mix_ev,gamelenmean,clipfrac,entropy,v_ex_ev
9.31,309,32,65536,65536,211.04178309440613,0.0,0.9809121396392584,9.31,0.0,0.0,0.9906682996079326
9.44,311,33,67584,67584,217.62003302574158,0.0,0.9849601006135345,9.44,0.0,0.0,0.9910049019381404
9.25,315,34,69632,69632,224.1033582687378,0.0,0.9832447357475758,9.25,0.0,0.0,0.9907276928424835
9.33,315,35,71680,71680,230.5915560722351,0.0,0.9816815108060837,9.33,0.0,0.0,0.9902715412899852
9.5,310,36,73728,73728,237.17739009857178,0.0,0.9840811938047409,9.5,0.0,0.0,0.9912024978548288
9.36,315,37,75776,75776,243.67004990577698,0.0,0.9838511310517788,9.36,0.0,0.0,0.9911894146353006
9.37,312,38,77824,77824,250.21562123298645,0.0,0.9845036119222641,9.37,0.0,0.0,0.9913626853376627
9.42,310,39,79872,79872,256.8085284233093,0.0,0.9851545980200171,9.42,0.0,0.0,0.9917945601046085
9.37,314,40,81920,81920,263.31118083000183,0.0,0.9847242357209325,9.37,0.0,0.0,0.9919743882492185
9.36,313,41,83968,83968,269.8381199836731,0.0,0.9852270809933543,9.36,0.0,0.0,0.992103417403996
9.37,315,42,86016,86016,276.3338112831116,0.0,0.9820712991058826,9.37,0.0,0.0,0.9917495446279645
9.25,314,43,88064,88064,282.85645627975464,0.0,0.9851013189181685,9.25,0.0,0.0,0.9923549182713032
9.31,313,44,90112,90112,289.3846619129181,0.0,0.9858717834576964,9.31,0.0,0.0,0.9921093387529254
9.36,313,45,92160,92160,295.9281985759735,0.0,0.983749233186245,9.36,0.0,0.0,0.9913621321320534
9.32,314,46,94208,94208,302.4318907260895,0.0,0.9849879667162895,9.32,0.0,0.0,0.992585645057261
9.42,315,47,96256,96256,308.9287624359131,0.0,0.9845613474026322,9.42,0.0,0.0,0.9915535282343626
9.42,312,48,98304,98304,315.49077439308167,0.0,0.9837233200669289,9.42,0.0,0.0,0.9913354991003871
9.4,309,49,100352,100352,322.1036705970764,0.0,0.9847113210707903,9.4,0.0,0.0,0.9917716663330793
9.38,307,50,102400,102400,328.77053785324097,0.0,0.980944599956274,9.38,0.0,0.0,0.9916873211041093
9.33,313,51,104448,104448,335.29420614242554,0.0,0.9854283453896642,9.33,0.0,0.0,0.9909946667030454
