#{"t_start": 1620892422.01914, "env_id": "CartPole-v0"}
r,l,t
9.0,9,16.83888
10.0,10,16.857049
10.0,10,16.875334
10.0,10,16.894313
8.0,8,16.909161
9.0,9,16.925608
8.0,8,16.940279
10.0,10,16.958527
10.0,10,16.976973
9.0,9,16.995451
10.0,10,17.014134
11.0,11,17.035304
9.0,9,17.052477
9.0,9,17.069448
8.0,8,17.084939
8.0,8,17.100181
9.0,9,17.116948
11.0,11,17.137465
10.0,10,17.156274
10.0,10,17.175316
10.0,10,17.195173
10.0,10,17.214517
10.0,10,17.233475
9.0,9,17.250389
9.0,9,17.2673
10.0,10,17.285932
11.0,11,17.30633
10.0,10,17.324924
10.0,10,17.343542
10.0,10,17.362244
9.0,9,17.379046
8.0,8,17.393777
9.0,9,17.410584
10.0,10,17.429211
9.0,9,17.446039
10.0,10,17.464586
8.0,8,17.479741
10.0,10,17.498984
8.0,8,17.514268
9.0,9,17.531424
10.0,10,17.55053
9.0,9,17.567682
10.0,10,17.586894
10.0,10,17.60598
9.0,9,17.623232
10.0,10,17.642365
9.0,9,17.659538
9.0,9,17.676729
10.0,10,17.695834
9.0,9,17.713088
9.0,9,17.730271
9.0,9,17.747453
9.0,9,17.764612
9.0,9,17.781719
9.0,9,17.799013
9.0,9,17.816242
9.0,9,17.833415
9.0,9,17.850571
9.0,9,17.867748
9.0,9,17.885062
10.0,10,17.904124
10.0,10,17.9233
8.0,8,17.938514
9.0,9,17.955639
10.0,10,17.97476
9.0,9,17.992041
11.0,11,18.01309
9.0,9,18.030241
10.0,10,18.049344
9.0,9,18.066514
10.0,10,18.085562
10.0,10,18.105003
10.0,10,18.123425
9.0,9,18.140098
9.0,9,18.156658
9.0,9,18.173378
10.0,10,18.192396
10.0,10,18.211164
10.0,10,18.229554
10.0,10,18.248074
9.0,9,18.264559
9.0,9,18.281224
10.0,10,18.29955
10.0,10,18.318007
11.0,11,18.33823
8.0,8,18.353047
9.0,9,18.369648
11.0,11,18.389986
10.0,10,18.408355
9.0,9,18.42483
9.0,9,18.441316
9.0,9,18.457748
10.0,10,18.475802
9.0,9,18.49395
11.0,11,18.513937
10.0,10,18.532074
10.0,10,18.550135
10.0,10,18.568222
10.0,10,18.586462
9.0,9,18.602896
11.0,11,18.622817
10.0,10,18.640884
10.0,10,18.659122
9.0,9,18.67538
10.0,10,18.693709
10.0,10,18.71179
10.0,10,18.729897
10.0,10,18.74796
8.0,8,18.762433
9.0,9,18.778692
9.0,9,18.79495
10.0,10,18.812994
10.0,10,18.831053
10.0,10,18.84911
10.0,10,18.867167
10.0,10,18.885247
8.0,8,18.899687
9.0,9,18.915891
9.0,9,18.932078
9.0,9,18.948248
9.0,9,18.96437
8.0,8,18.978758
9.0,9,18.995009
9.0,9,19.011237
8.0,8,19.025674
10.0,10,19.043783
10.0,10,19.06194
10.0,10,19.079898
9.0,9,19.097181
10.0,10,19.115974
10.0,10,19.134736
9.0,9,19.151591
9.0,9,19.168489
9.0,9,19.185517
10.0,10,19.204403
10.0,10,19.223104
10.0,10,19.2418
10.0,10,19.260463
8.0,8,19.275411
10.0,10,19.29409
10.0,10,19.31279
10.0,10,19.331477
9.0,9,19.34828
9.0,9,19.365121
10.0,10,19.383786
9.0,9,19.400607
10.0,10,19.419299
9.0,9,19.436117
10.0,10,19.454784
10.0,10,19.473518
8.0,8,19.488508
10.0,10,19.507344
9.0,9,19.524317
10.0,10,19.543048
10.0,10,19.562064
9.0,9,19.579248
9.0,9,19.596394
8.0,8,19.611568
9.0,9,19.628612
9.0,9,19.645618
9.0,9,19.663186
9.0,9,19.681181
10.0,10,19.701092
10.0,10,19.721026
9.0,9,19.738967
10.0,10,19.758944
10.0,10,19.779017
10.0,10,19.798958
8.0,8,19.814957
8.0,8,19.830927
10.0,10,19.850955
9.0,9,22.560429
10.0,10,22.578859
10.0,10,22.597358
8.0,8,22.612087
10.0,10,22.630447
9.0,9,22.647005
10.0,10,22.665367
10.0,10,22.683762
10.0,10,22.70202
9.0,9,22.718253
10.0,10,22.736294
10.0,10,22.75433
9.0,9,22.770571
10.0,10,22.788573
9.0,9,22.804812
8.0,8,22.81923
9.0,9,22.835504
9.0,9,22.851752
10.0,10,22.869747
9.0,9,22.885993
10.0,10,22.90399
9.0,9,22.920208
9.0,9,22.936378
9.0,9,22.95247
9.0,9,22.968583
9.0,9,22.984707
10.0,10,23.002636
10.0,10,23.02237
10.0,10,23.04051
10.0,10,23.058547
10.0,10,23.076421
10.0,10,23.094345
10.0,10,23.112498
11.0,11,23.13236
9.0,9,23.148604
9.0,9,23.164928
10.0,10,23.183229
10.0,10,23.201398
10.0,10,23.219573
9.0,9,23.235856
10.0,10,23.25394
10.0,10,23.272195
9.0,9,23.288811
10.0,10,23.307019
10.0,10,23.325255
9.0,9,23.341734
9.0,9,23.358212
10.0,10,23.377025
9.0,9,23.39369
9.0,9,23.410317
9.0,9,23.426714
10.0,10,23.444998
9.0,9,23.461618
9.0,9,23.478096
8.0,8,23.492927
9.0,9,23.509982
9.0,9,23.527904
9.0,9,23.545244
10.0,10,23.565609
11.0,11,23.586978
10.0,10,23.606633
10.0,10,23.626562
9.0,9,23.643368
9.0,9,23.660436
9.0,9,23.678262
9.0,9,23.696165
11.0,11,23.717736
10.0,10,23.737183
8.0,8,23.752603
10.0,10,23.771926
9.0,9,23.789324
9.0,9,23.806876
9.0,9,23.8243
8.0,8,23.839751
8.0,8,23.855241
11.0,11,23.876499
10.0,10,23.895768
10.0,10,23.915293
9.0,9,23.933005
9.0,9,23.950644
10.0,10,23.970247
9.0,9,23.987715
10.0,10,24.007276
10.0,10,24.026826
10.0,10,24.046321
10.0,10,24.065796
9.0,9,24.083248
9.0,9,24.099802
9.0,9,24.117035
10.0,10,24.136637
10.0,10,24.156263
10.0,10,24.175874
10.0,10,24.195435
9.0,9,24.212999
9.0,9,24.230623
9.0,9,24.248319
10.0,10,24.267918
10.0,10,24.287524
9.0,9,24.30515
10.0,10,24.324693
